Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,Cosine
1,0.7561309604644776,0.024903705462813376,0.48467748022079465,0.26338428641017525,21.52248191833496,0.6017536029219628,0.4067422995716333
2,0.9296315279006958,0.012559039115905762,0.502032693862915,0.4552685806155205,23.457660675048828,0.6308200770616531,0.5854236468672752
3,1.0057243528366089,0.01026140048354864,0.8938181753158569,0.9015332627296447,23.474342346191406,0.6532538664340973,0.6733315527439118
4,1.0000000534057618,0.009493197500705718,0.9999994745254517,0.9999995250701904,24.04391098022461,0.6815214452147483,0.7116559076309205
5,1.000000337600708,0.008287039972841739,0.9999992818832397,0.9999996156692504,25.232954025268555,0.7014732638001442,0.7443104654550552
6,1.0000000452995301,0.007520654737949372,0.9999995470046997,0.9999996123313903,24.146100997924805,0.7007812157273292,0.7454895025491715
7,1.0000001440048218,0.00753090888634324,0.9999994621276855,0.999999623298645,24.125934600830078,0.706419957280159,0.7463543045520783
8,1.000000011444092,0.007766002107411623,0.9999995255470275,0.9999995403289795,23.052751541137695,0.6515606757998467,0.7543790590763092
9,1.000000262260437,0.007521096982061863,0.9999992074966431,0.9999994206428527,24.735612869262695,0.7022311305999756,0.7642924004793167
10,1.0000001039505004,0.006942443139851093,0.999999174118042,0.9999992065429687,24.687768936157227,0.7190709978342056,0.7710642939805985
11,1.0000001077651977,0.006776250157505274,0.9999993605613708,0.9999994592666626,25.759002685546875,0.7197838264703751,0.7715308809280396
12,1.0000000205039978,0.006519175067543984,0.9999995079040528,0.9999994893074036,25.074796676635742,0.6977367317676544,0.7789624726772308
13,0.9999996757507325,0.006581342481076717,0.9999993863105774,0.9999990959167481,25.25543975830078,0.720551233291626,0.7692555171251297
14,0.999999924659729,0.0065455961599946025,0.999999140739441,0.9999990134239197,25.079723358154297,0.726301988363266,0.7881140476465225
15,0.9999999332427979,0.006195891920477152,0.9999994306564332,0.999999306678772,25.64242935180664,0.7222817927598953,0.7927235037088394
16,1.0000000700950622,0.006256782311946154,0.9999992198944092,0.999999231338501,25.249114990234375,0.7307193440198898,0.783345514535904
17,0.9999999341964722,0.006330826550722122,0.9999995346069336,0.9999995002746582,25.147838592529297,0.7232307749986648,0.7887711435556412
18,0.9999998950958252,0.006022628791630268,0.9999994764328003,0.9999994029998779,25.98865509033203,0.7271821409463882,0.8023603022098541
19,0.9999998960494995,0.005992070782929659,0.9999994659423828,0.999999439239502,26.109725952148438,0.7368702530860901,0.7998256182670593
20,0.9999999480247498,0.006024682447314262,0.9999995756149292,0.9999995574951172,25.20414161682129,0.7149823236465455,0.7939523130655288
21,0.9999995946884155,0.006165090076625347,0.9999989848136902,0.9999985871315002,25.486385345458984,0.7307355761528015,0.7994148087501526
22,0.9999999566078186,0.005848181873559952,0.9999993715286255,0.9999993162155152,26.100921630859375,0.7357626259326935,0.7973587906360626
23,0.9999999241828919,0.005621543765068055,0.9999993028640747,0.9999992237091064,25.982555389404297,0.7364057189226151,0.813101098537445
24,0.9999999856948852,0.005778102479875088,0.999998966217041,0.9999989070892334,25.879270553588867,0.7299365782737732,0.8163005822896957
25,0.9999999332427979,0.005593510303646326,0.9999994554519653,0.999999397277832,25.984630584716797,0.7386461073160171,0.8096192395687103
26,0.9999999694824219,0.0055951856300234795,0.9999996066093445,0.9999995903968811,26.106151580810547,0.7403208094835282,0.811266353726387
27,0.9999999485015869,0.005445311032235623,0.9999992923736573,0.99999924659729,26.07135772705078,0.7404870545864105,0.8158549880981445
28,0.9999998688697815,0.00543788506090641,0.9999990181922913,0.9999989337921142,26.2760009765625,0.7413175749778748,0.818322873711586
29,0.999999994277954,0.005324094504117966,0.9999994525909424,0.9999994630813599,26.328399658203125,0.7363938450813293,0.8114953875541687
30,0.9999998178482056,0.005412589833140373,0.9999993572235107,0.9999992485046387,26.38101577758789,0.7404860502481461,0.8131206077337265
31,0.9999998893737793,0.005318064630031586,0.9999988107681275,0.9999988231658935,26.31344223022461,0.74252465903759,0.8248748511075974
32,0.9999999160766602,0.0053082314319908615,0.9999995293617249,0.9999994902610779,26.35965347290039,0.7409483218193054,0.8203167140483856
33,1.0000000319480895,0.005323245257139206,0.9999992985725403,0.999999340057373,26.319177627563477,0.7433321112394333,0.8221051180362702
34,1.0000000066757202,0.005217472441494465,0.9999993686676025,0.9999993591308594,26.298654556274414,0.7398814421892166,0.8249445205926895
35,0.9999999160766602,0.005142455194145441,0.9999994707107543,0.9999994258880616,26.029760360717773,0.7403347861766815,0.8272704905271531
36,0.9999998083114624,0.0052878897860646245,0.9999993772506713,0.9999992113113403,26.405656814575195,0.7459956532716752,0.8240641069412231
37,0.9999999346733093,0.005214655846357346,0.9999989094734192,0.9999988570213317,26.507171630859375,0.7476217180490494,0.8308302515745163
38,0.9999999504089355,0.005106572292745113,0.9999992895126343,0.9999992771148681,26.32617950439453,0.7420813018083572,0.8321716070175171
39,0.9999999017715454,0.005083402018994093,0.999999391078949,0.9999992904663086,25.675661087036133,0.744542156457901,0.8330578815937042
40,1.0000000023841857,0.005083192825317382,0.9999991474151612,0.9999991331100464,26.554729461669922,0.7496330016851425,0.8287615871429443
41,0.9999999418258667,0.004946649018675089,0.9999990787506103,0.9999989967346191,26.670562744140625,0.7501244115829467,0.83666763484478
42,1.0000000238418578,0.005152146115899086,0.9999992141723633,0.999999228477478,25.344646453857422,0.7370659816265106,0.833817966580391
43,0.9999998960494995,0.004974134117364883,0.9999993553161621,0.9999993314743042,26.310009002685547,0.7464022105932235,0.8320529305934906
