Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,Cosine
1,0.7082450462579727,0.023396898612380028,0.5450215389095246,0.3005908942418173,22.204696655273438,0.5934952250123025,0.39057107977569105
2,0.909871102809906,0.011996637597680092,0.46985034171491863,0.40358895175904036,23.552593231201172,0.6457977536320686,0.5801843522489071
3,1.0013269701004028,0.00927054923772812,0.5995317430496215,0.6057209405899048,24.58643341064453,0.680349817276001,0.6647763112187386
4,0.9982988557815552,0.00752393926307559,0.7650747804641723,0.7659637079238891,23.12660026550293,0.6550994259119034,0.7029833909869194
5,1.00240403175354,0.00696401859819889,0.9514333047866821,0.9546592178344726,24.177034378051758,0.6876925563812256,0.7117221182584763
6,1.0000078887939454,0.006814649771898985,0.9999315090179444,0.9999393968582153,25.13739776611328,0.6970620220899582,0.7350868114829063
7,1.0000047726631165,0.00642125129699707,0.9999456310272217,0.9999509267807006,24.474191665649414,0.6941917878389359,0.7307964223623276
8,1.000003046989441,0.006212143387645483,0.9999497079849243,0.9999530401229858,25.5391788482666,0.7090043631196022,0.752695819735527
9,1.000004240989685,0.005907252721488476,0.9999547033309937,0.9999587836265564,25.450000762939453,0.7162396374344826,0.7604267343878746
10,1.0000004796981812,0.005779108557850123,0.9999660038948059,0.9999667258262634,25.689483642578125,0.7257652175426483,0.7618490844964981
11,1.0000037174224854,0.006062178961932659,0.999963134765625,0.9999662041664124,25.145702362060547,0.7143855446577072,0.7620958775281906
12,1.0000028891563415,0.005896593168377876,0.9999626398086547,0.9999659023284913,25.342308044433594,0.716474135518074,0.7588519501686096
13,1.000001305580139,0.005484889015555381,0.9999735155105591,0.9999746131896973,25.017356872558594,0.7263139533996582,0.773591490983963
14,1.0000015363693238,0.00553036953881383,0.9999736428260804,0.9999754133224488,24.494197845458984,0.7139284911751748,0.7678473031520844
15,1.0000013265609742,0.005409565720707178,0.9999733304977417,0.9999748125076294,25.856218338012695,0.7222449862957001,0.7725819492340088
16,1.000001883506775,0.00546415152028203,0.9999761810302734,0.9999784426689148,25.561113357543945,0.7313910496234893,0.7767109113931656
17,1.0000012664794922,0.00521501225605607,0.9999795436859131,0.9999808773994446,25.99268913269043,0.7281107413768768,0.7808458596467972
18,1.000001145362854,0.005110134486109018,0.9999803466796875,0.9999814858436584,25.853397369384766,0.7383660578727722,0.7877876877784729
19,1.0000011653900147,0.005188789058476686,0.9999811363220215,0.9999823732376099,26.311302185058594,0.7365469324588776,0.7865829247236252
20,1.0000009613037109,0.005019325572997332,0.9999833221435547,0.9999842548370361,24.715986251831055,0.7241934037208557,0.7858875840902328
21,1.0000010633468628,0.005238707207143306,0.9999838495254516,0.9999849691390991,26.052095413208008,0.7351862847805023,0.7829586333036422
22,1.0000004749298095,0.004867126107215881,0.9999862895011902,0.9999867219924927,26.327220916748047,0.7457061970233917,0.7919528406858444
23,1.0000009469985962,0.004992134474217892,0.9999865598678589,0.99998756980896,25.700361251831055,0.7342708098888397,0.7852385210990905
24,1.0000007934570312,0.005127093896269798,0.9999865789413452,0.9999872188568115,25.079788208007812,0.7291423699259758,0.7928682112693787
25,1.0000004014968873,0.004885198224335909,0.9999880218505859,0.9999884896278382,25.835651397705078,0.7334740000963211,0.7775185588002205
26,1.000000500679016,0.004774118762463331,0.9999884338378906,0.9999888935089112,26.394912719726562,0.7466889280080795,0.7925001507997513
27,1.0000004549026489,0.004736002177000046,0.999987657546997,0.9999880895614625,25.59063720703125,0.7370865762233734,0.7913536238670349
28,1.000000214099884,0.004977299928665161,0.999989294052124,0.9999898128509521,24.838502883911133,0.7288541728258133,0.7899441194534301
29,1.0000005717277527,0.004644538827240467,0.9999889540672302,0.9999895720481873,26.311138153076172,0.7432916283607482,0.805938041806221
30,1.0000004529953004,0.004766182027757168,0.9999898662567138,0.999990357875824,26.339025497436523,0.7392487514019013,0.7931395548582078
31,1.000000325202942,0.004661810167133808,0.9999904265403747,0.9999907970428467,25.90469741821289,0.7459368765354156,0.7992206811904907
32,1.0000003185272217,0.004569573424756527,0.9999907145500183,0.999990993976593,26.070804595947266,0.7484276396036148,0.8029494678974152
33,1.0000002574920654,0.0046589854881167415,0.9999906959533691,0.9999907803535462,25.63722801208496,0.7453596466779708,0.8083294302225112
34,1.0000003061294556,0.004656424663960933,0.999991379737854,0.9999917106628418,25.614883422851562,0.7484024298191071,0.8048650312423706
35,1.0000001668930054,0.004446797251701355,0.9999918804168701,0.9999920434951782,26.430171966552734,0.7484960949420929,0.8098512208461761
36,1.0000003156661987,0.004411437705159187,0.9999924926757813,0.999992868900299,26.510202407836914,0.7503285777568817,0.8080588418245316
37,1.000000111579895,0.004422557055950165,0.9999919767379761,0.999992073059082,25.59739112854004,0.748753371834755,0.8151749849319458
38,1.0000001592636107,0.004465365434065461,0.9999923048019409,0.9999924564361572,26.582408905029297,0.7530074316263199,0.813458279967308
39,1.0000001006126404,0.004330812767148018,0.9999931807518005,0.999993369102478,26.75977897644043,0.75356023311615,0.8162597453594208
40,1.0000001349449157,0.004346297524869442,0.9999929261207581,0.9999931402206421,26.223230361938477,0.749706416130066,0.8041116815805435
41,1.000000184059143,0.0043110746331512925,0.9999916830062866,0.9999919466972351,25.93411636352539,0.7551558774709701,0.8149228888750076
42,1.0000000381469727,0.004352983299642801,0.9999935717582703,0.9999936060905457,26.691722869873047,0.7549597585201263,0.8182198762893677
43,1.0000001249313355,0.004221520811319351,0.9999925308227539,0.9999926490783692,26.68621253967285,0.7529099148511886,0.8208134067058563
